iso2,network_id,network_name,mcc,mnc,cc,prefix,live_coverage,rates
AT,43502,Mobile - T Mobile Magenta,232,3,43,43676,TRUE,0.000735
AT,43502,Mobile - T Mobile Magenta,232,3,43,436772,TRUE,0.000735
AT,43502,Mobile - T Mobile Magenta,232,3,43,436778,TRUE,0.000735
AT,43502,Mobile - T Mobile Magenta,232,3,43,4368860,TRUE,0.000735
AT,43502,Mobile - T Mobile Magenta,232,3,43,4368861,TRUE,0.000735
AT,43502,Mobile - T Mobile Magenta,232,3,43,436889,TRUE,0.000735
AT,43503,T-Mobile Austria GmbH,232,4,43,,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,43681,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,436990,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,4369901,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,4369902,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,4369903,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,4369904,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,4369905,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,4369906,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,4369907,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,4369908,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,4369909,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,436991,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,436992,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,436993,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,436994,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,436995,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,436996,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,436997,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,436998,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,4369980,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,4369981,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,4369982,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,4369983,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,4369984,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,4369985,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,4369986,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,4369987,TRUE,0.000735
AT,43504,Hutchison Drei Austria (Orange),232,5,43,436999,TRUE,0.000735
AT,43505,Mobile – Ventocom,232,7,43,43650,TRUE,0.000735
AT,43506,Lycamobile Austria Ltd,232,8,43,,TRUE,0.000735
AT,43508,Hutchison Drei Austria (H3G/Three)  ,232,10,43,43660,TRUE,0.000735
AT,43508,Hutchison Drei Austria (H3G/Three)  ,232,10,43,4367833,TRUE,0.000735
AT,43508,Hutchison Drei Austria (H3G/Three)  ,232,10,43,436789,TRUE,0.000735
AT,43508,Hutchison Drei Austria (H3G/Three)  ,232,10,43,4367890,TRUE,0.000735
AT,43508,Hutchison Drei Austria (H3G/Three)  ,232,10,43,4367891,TRUE,0.000735
AT,43509,A1 Telekom Austria Aktiengesellschaft,232,11,43,,TRUE,0.000735
AT,43510,A1 Telekom Austria Aktiengesellschaft,232,12,43,,TRUE,0.000735
AT,43512,Hutchison Drei Austria GmbH (H3G),232,14,43,,TRUE,0.000735
AT,43514,Hutchison Drei Austria GmbH (H3G),232,16,43,,TRUE,0.000735
AT,43515,MASS Response Service (Spusu),232,17,43,43670,TRUE,0.000735
AT,43516,smartspace GmbH,232,18,43,,TRUE,0.000735
AT,43517,Tele2 Telecommunication GmbH,232,19,43,,TRUE,0.000735
AT,43518,MTEL Austria GmbH,232,20,43,,TRUE,0.000735
AT,43520,Plintron Austria Limited,232,22,43,,TRUE,0.000735
AT,43523,Ventocom GmbH,232,7,43,,TRUE,0.000735
AT,43527,kabelplus GmbH,232,10,43,,TRUE,0.000735
AT,431113,educom GmbH,232,5,43,,TRUE,0.000735
AU,61506,Pivotel Satellite Pty Limited,505,50,61,61106,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,6116,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,6142,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,61436,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614444,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,61455,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,61456,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,61467,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614690,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614691,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614692,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614693,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,614694,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,61473,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,61474,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,61475,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,61476,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,61477,TRUE,0.000525
AU,61506,Pivotel Satellite Pty Limited,505,50,61,6148,TRUE,0.000525
